country,year,column,value,source,method,base_year,r_squared
Algeria,2016,Access to Clean Fuels and Technologies for cooking (% of total population),99.6,measured,source_ingest,2016.0,
Algeria,2016,Access to electricity (% of total population),99.4,measured,source_ingest,2016.0,
Algeria,2016,Population growth (annual %),2.05569111181654,measured,source_ingest,2016.0,
Algeria,2016,carbon_intensity_elec,636.4,measured,source_ingest,2016.0,
Algeria,2016,electricity_demand (TWh),70.79,measured,source_ingest,2016.0,
Algeria,2016,electricity_generation (TWh),71.04,measured,source_ingest,2016.0,
Algeria,2016,energy_poverty_electricity (% of total population),0.5999999999999943,derived,one_minus_access,2016.0,
Algeria,2016,energy_poverty_electricity_rural (% of rural population),1.7000000000000028,measured,source_ingest,2016.0,
Algeria,2016,energy_poverty_electricity_urban (% of urban population),0.09999999999999432,measured,source_ingest,2016.0,
Algeria,2016,energy_poverty_multidimensional (% of total population),0.5,measured,source_ingest,2016.0,
Algeria,2016,fossil_share_elec,99.521,measured,source_ingest,2016.0,
Algeria,2016,gdp,569170418715.0,measured,source_ingest,2016.0,
Algeria,2016,greenhouse_gas_emissions,45.21,measured,source_ingest,2016.0,
Algeria,2016,hydro_electricity,0.22,measured,source_ingest,2016.0,
Algeria,2016,low_carbon_share_elec,0.479,measured,source_ingest,2016.0,
Algeria,2016,population,40850719.0,measured,source_ingest,2016.0,
Algeria,2016,renewables_electricity,0.34,measured,source_ingest,2016.0,
Algeria,2016,renewables_share_elec,0.479,measured,source_ingest,2016.0,
Algeria,2016,solar_electricity,0.09,measured,source_ingest,2016.0,
Algeria,2016,wind_electricity,0.03,measured,source_ingest,2016.0,
Algeria,2017,Access to Clean Fuels and Technologies for cooking (% of total population),99.6,measured,source_ingest,2017.0,
Algeria,2017,Access to electricity (% of total population),99.5,measured,source_ingest,2017.0,
Algeria,2017,Population growth (annual %),2.03200060784518,measured,source_ingest,2017.0,
Algeria,2017,carbon_intensity_elec,634.15,measured,source_ingest,2017.0,
Algeria,2017,electricity_demand (TWh),75.73,measured,source_ingest,2017.0,
Algeria,2017,electricity_generation (TWh),76.07,measured,source_ingest,2017.0,
Algeria,2017,energy_poverty_electricity (% of total population),0.5,derived,one_minus_access,2017.0,
Algeria,2017,energy_poverty_electricity_rural (% of rural population),1.4000000000000057,measured,source_ingest,2017.0,
Algeria,2017,energy_poverty_electricity_urban (% of urban population),0.09999999999999432,measured,source_ingest,2017.0,
Algeria,2017,energy_poverty_multidimensional (% of total population),0.4500000000000028,measured,source_ingest,2017.0,
Algeria,2017,fossil_share_elec,99.159,measured,source_ingest,2017.0,
Algeria,2017,gdp,577138830559.0,measured,source_ingest,2017.0,
Algeria,2017,greenhouse_gas_emissions,48.24,measured,source_ingest,2017.0,
Algeria,2017,hydro_electricity,0.06,measured,source_ingest,2017.0,
Algeria,2017,low_carbon_share_elec,0.841,measured,source_ingest,2017.0,
Algeria,2017,population,41689302.0,measured,source_ingest,2017.0,
Algeria,2017,renewables_electricity,0.64,measured,source_ingest,2017.0,
Algeria,2017,renewables_share_elec,0.841,measured,source_ingest,2017.0,
Algeria,2017,solar_electricity,0.57,measured,source_ingest,2017.0,
Algeria,2017,wind_electricity,0.01,measured,source_ingest,2017.0,
Algeria,2018,Access to Clean Fuels and Technologies for cooking (% of total population),99.7,measured,source_ingest,2018.0,
Algeria,2018,Access to electricity (% of total population),99.6,measured,source_ingest,2018.0,
Algeria,2018,Population growth (annual %),1.93780623340147,measured,source_ingest,2018.0,
Algeria,2018,carbon_intensity_elec,632.7,measured,source_ingest,2018.0,
Algeria,2018,electricity_demand (TWh),76.66,measured,source_ingest,2018.0,
Algeria,2018,electricity_generation (TWh),76.75,measured,source_ingest,2018.0,
Algeria,2018,energy_poverty_electricity (% of total population),0.4000000000000057,derived,one_minus_access,2018.0,
Algeria,2018,energy_poverty_electricity_rural (% of rural population),1.0999999999999943,measured,source_ingest,2018.0,
Algeria,2018,energy_poverty_electricity_urban (% of urban population),0.09999999999999432,measured,source_ingest,2018.0,
Algeria,2018,energy_poverty_multidimensional (% of total population),0.3499999999999943,measured,source_ingest,2018.0,
Algeria,2018,fossil_share_elec,98.932,measured,source_ingest,2018.0,
Algeria,2018,gdp,584064441740.0,measured,source_ingest,2018.0,
Algeria,2018,greenhouse_gas_emissions,48.56,measured,source_ingest,2018.0,
Algeria,2018,hydro_electricity,0.12,measured,source_ingest,2018.0,
Algeria,2018,low_carbon_share_elec,1.068,measured,source_ingest,2018.0,
