datetime,country,electricity_demand (MWh),renewables_electricity (MWh)
2020-01-01 00:00:00,South Africa,20519.17,1014.503
2020-01-01 01:00:00,South Africa,19965.51,851.042
2020-01-01 02:00:00,South Africa,19582.55,692.331
2020-01-01 03:00:00,South Africa,19234.17,579.94
2020-01-01 04:00:00,South Africa,19246.7,494.134
2020-01-01 05:00:00,South Africa,19249.6,533.379
2020-01-01 06:00:00,South Africa,19250.9,686.596
2020-01-01 07:00:00,South Africa,19877.43,1154.422
2020-01-01 08:00:00,South Africa,20487.65,1473.641
2020-01-01 09:00:00,South Africa,21577.07,1698.139
2020-01-01 10:00:00,South Africa,22037.17,1832.925
2020-01-01 11:00:00,South Africa,22060.24,2004.731
2020-01-01 12:00:00,South Africa,21828.42,2185.376
2020-01-01 13:00:00,South Africa,21404.01,2183.595
2020-01-01 14:00:00,South Africa,20959.05,2248.288
2020-01-01 15:00:00,South Africa,20640.86,2352.455
2020-01-01 16:00:00,South Africa,20321.6,2476.678
2020-01-01 17:00:00,South Africa,20655.38,2420.891
2020-01-01 18:00:00,South Africa,21091.78,2138.697
2020-01-01 19:00:00,South Africa,22149.98,1856.557
2020-01-01 20:00:00,South Africa,22003.99,1744.182
2020-01-01 21:00:00,South Africa,20782.09,1705.166
2020-01-01 22:00:00,South Africa,19621.56,1357.042
2020-01-01 23:00:00,South Africa,18828.63,1192.041
2020-01-02 00:00:00,South Africa,18412.0,964.373
2020-01-02 01:00:00,South Africa,18186.52,854.171
2020-01-02 02:00:00,South Africa,18216.76,786.014
2020-01-02 03:00:00,South Africa,18379.24,666.751
2020-01-02 04:00:00,South Africa,18495.24,645.243
2020-01-02 05:00:00,South Africa,19641.53,611.546
2020-01-02 06:00:00,South Africa,20163.96,736.122
2020-01-02 07:00:00,South Africa,20948.55,1177.437
2020-01-02 08:00:00,South Africa,22225.37,1583.871
2020-01-02 09:00:00,South Africa,22492.542,1739.611
2020-01-02 10:00:00,South Africa,23215.549,1915.186
2020-01-02 11:00:00,South Africa,23083.71,2093.006
2020-01-02 12:00:00,South Africa,23018.4,2143.236
2020-01-02 13:00:00,South Africa,22716.62,2345.11
2020-01-02 14:00:00,South Africa,22637.35,2447.381
